region,percentile,f_ghz,gamma_dB_per_km
selva,50,7.0,0.0197301727541714
selva,50,7.0,0.0203002205768789
selva,50,7.0,0.0187110820852374
selva,50,7.0,0.0192057065353426
selva,50,11.0,0.0483351322499886
selva,50,11.0,0.0497542564968685
selva,50,11.0,0.0457826751157775
selva,50,11.0,0.0470139276947357
selva,50,11.0,0.0483293380265177
selva,50,11.0,0.0497484622733976
selva,50,11.0,0.0457767702730841
selva,50,11.0,0.0470080228520423
selva,50,15.0,0.0901886143731977
selva,50,15.0,0.0929393109111101
selva,50,15.0,0.0851694608585965
selva,50,15.0,0.0875549818116289
selva,50,15.0,0.0901781733842775
selva,50,15.0,0.0929288699221899
selva,50,15.0,0.0851588205376896
selva,50,15.0,0.087544341490722
selva,50,18.0,0.1358221916525117
selva,50,18.0,0.1402767387061837
selva,50,18.0,0.1274769561413489
selva,50,18.0,0.1313362380143162
selva,50,18.0,0.135807586821351
selva,50,18.0,0.1402621338750231
selva,50,18.0,0.1274620724850662
selva,50,18.0,0.1313213543580335
selva,50,23.0,0.3566841645597933
selva,50,23.0,0.37248180499777
selva,50,23.0,0.3241762302560516
selva,50,23.0,0.3378856233610985
selva,50,23.0,0.356661652806415
selva,50,23.0,0.3724592932443917
selva,50,23.0,0.3241532887241763
selva,50,23.0,0.3378626818292233
selva,50,32.0,0.3565064621364224
selva,50,32.0,0.3681389573319829
selva,50,32.0,0.3348423115472423
selva,50,32.0,0.3449384936942228
selva,50,32.0,0.3564680707094019
selva,50,32.0,0.3681005659049623
selva,50,32.0,0.3348031871782102
selva,50,32.0,0.3448993693251908
selva,50,38.0,0.4763088110661167
selva,50,38.0,0.4924154286155164
selva,50,38.0,0.4459946521219311
selva,50,38.0,0.4599769859248828
selva,50,38.0,0.476259637767261
selva,50,38.0,0.4923662553166607
selva,50,38.0,0.4459445400411813
selva,50,38.0,0.4599268738441329
selva,90,6.0,0.0151890705871017
selva,90,6.0,0.0156034226833999
selva,90,6.0,0.014415255911384
selva,90,6.0,0.0147793767620895
selva,90,6.0,0.0151854482465251
selva,90,6.0,0.0155998003428233
selva,90,6.0,0.0144115702888271
selva,90,6.0,0.0147756911395326
selva,90,7.0,0.0206173047006854
selva,90,7.0,0.0211804868509305
selva,90,7.0,0.0195650997781639
selva,90,7.0,0.0200600162943571
selva,90,7.0,0.0206123944167926
